cve_scenario|num_year|pct_rate
48|21|0.074680542
48|22|0.088050308
48|23|0.083471769
48|24|0.076827516
48|25|0.078933006
48|26|0.073364377
48|27|0.070404402
48|28|0.075331668
48|29|0.077817712
48|30|0.061830294
49|1|0.04509729
49|2|0.04669064
49|3|0.055161411
49|4|0.082744303
49|5|0.067757456
49|6|0.055649393
49|7|0.04671724
49|8|0.057929502
49|9|0.054050262
49|10|0.052679078
49|11|0.048460291
49|12|0.048062015
49|13|0.04659345
49|14|0.049518292
49|15|0.056073771
49|16|0.070049563
49|17|0.067809122
49|18|0.078322327
49|19|0.065922029
49|20|0.064515285
49|21|0.060741386
49|22|0.069803382
49|23|0.071621442
49|24|0.070598917
49|25|0.062818727
49|26|0.071039743
49|27|0.071320222
49|28|0.06753117
49|29|0.064301723
49|30|0.053894214
50|1|0.04509729
50|2|0.056366673
50|3|0.062935225
50|4|0.058426354
50|5|0.05193741
50|6|0.050518403
50|7|0.04004507
50|8|0.032290544
50|9|0.027487336
50|10|0.026085936
50|11|0.026657324
50|12|0.032448033
50|13|0.030886886
50|14|0.038185739
50|15|0.036141786
50|16|0.040247006
50|17|0.039292575
50|18|0.049726267
50|19|0.054403466
50|20|0.054788567
50|21|0.062731099
50|22|0.059228969
50|23|0.074026504
50|24|0.073263884
50|25|0.066935089
50|26|0.050582975
50|27|0.054126237
50|28|0.062245606
50|29|0.044356254
50|30|0.029797729
51|1|0.04509729
51|2|0.033986973
51|3|0.034250354
51|4|0.044570872
51|5|0.039949209
51|6|0.039121313
51|7|0.046295769
51|8|0.054663273
51|9|0.046008358
51|10|0.048664066
51|11|0.048498177
51|12|0.043831044
51|13|0.051133462
51|14|0.0532999
51|15|0.058085849
51|16|0.067191269
51|17|0.076584707
51|18|0.070363018
51|19|0.068558432
51|20|0.045209746
51|21|0.048890392
51|22|0.059881575
51|23|0.049556197
51|24|0.048716293
51|25|0.044765069
51|26|0.049904549
51|27|0.039398601
51|28|0.038339601
51|29|0.047740582
51|30|0.05438909
52|1|0.04509729
52|2|0.060561157
52|3|0.057699118
52|4|0.045762913
52|5|0.044189685
52|6|0.035118021
52|7|0.03355079
52|8|0.040802939
52|9|0.043042456
52|10|0.046155638
52|11|0.048799244
52|12|0.049206879
52|13|0.042623767
52|14|0.040905982
52|15|0.047106052
52|16|0.065641225
52|17|0.08082222
52|18|0.100104153
52|19|0.105232741
52|20|0.096355585
52|21|0.102614453
52|22|0.103605927
52|23|0.117438211
52|24|0.144019559
52|25|0.17571408
52|26|0.139545575
52|27|0.118565353
52|28|0.128057472
52|29|0.135454343
52|30|0.136776043
53|1|0.04509729
53|2|0.048395784
53|3|0.052363093
53|4|0.050864864
53|5|0.053639634
53|6|0.053744337
53|7|0.054411681
53|8|0.049978325
53|9|0.045748597
53|10|0.060344903
53|11|0.066211131
53|12|0.073445189
53|13|0.060644575
53|14|0.063359003
53|15|0.05984966
53|16|0.061430516
53|17|0.074682616
53|18|0.086669687
53|19|0.132646155
53|20|0.132337541
53|21|0.114285026
53|22|0.098588026
53|23|0.073939452
53|24|0.075584707
53|25|0.089955836
53|26|0.068018903
53|27|0.062429071
53|28|0.068333094
53|29|0.065479161
53|30|0.067075571
54|1|0.04509729
54|2|0.054353151
54|3|0.059570687
54|4|0.081008321
54|5|0.078102192
54|6|0.060260466
54|7|0.060575575
54|8|0.064984784
54|9|0.05171896
54|10|0.046990424
54|11|0.03716402
54|12|0.046407267
54|13|0.044226472
54|14|0.045010396
54|15|0.051396967
54|16|0.050575801
54|17|0.050293951
54|18|0.046081997
54|19|0.049950658
54|20|0.044529991
54|21|0.043825936
54|22|0.039168205
54|23|0.048410119
54|24|0.051297508
54|25|0.056407785
54|26|0.071182565
54|27|0.067564233
54|28|0.069968878
54|29|0.089993421
54|30|0.094189221
55|1|0.04509729
55|2|0.044011889
55|3|0.043823892
55|4|0.048684547
55|5|0.036488923
55|6|0.031741968
55|7|0.030491962
55|8|0.037264845
55|9|0.030702105
55|10|0.036401369
55|11|0.034251371
